Hydrocarbon,Ti (K),equivalent ratio,Pressure (atm),LBV (cm/s)
Alkane-air,300.0,0.6,1.0,10.32
Alkane-air,300.0,0.68,1.0,19.95
Alkane-air,300.0,0.69,1.0,21.168
Alkane-air,300.0,0.7,1.0,18.981
Alkane-air,300.0,0.71,1.0,23.58
Alkane-air,300.0,0.74,1.0,24.762
Alkane-air,300.0,0.75,1.0,26.347
Alkane-air,300.0,0.78,1.0,26.445
Alkane-air,300.0,0.79,1.0,28.297
Alkane-air,300.0,0.8,1.0,26.752
Alkane-air,300.0,0.82,1.0,31.64
Alkane-air,300.0,0.83,1.0,27.87
Alkane-air,300.0,0.84,1.0,34.32
Alkane-air,300.0,0.85,1.0,33.61
Alkane-air,300.0,0.87,1.0,33.24
Alkane-air,300.0,0.88,1.0,33.16
Alkane-air,300.0,0.89,1.0,34.935
Alkane-air,300.0,0.9,1.0,32.27
Alkane-air,300.0,0.92,1.0,32.53
Alkane-air,300.0,0.95,1.0,38.52
Alkane-air,300.0,0.96,1.0,38.06
Alkane-air,300.0,0.97,1.0,36.987
Alkane-air,300.0,0.98,1.0,37.74
Alkane-air,300.0,0.99,1.0,36.81
Alkane-air,300.0,1.0,1.0,35.818
Alkane-air,300.0,1.02,1.0,37.588
Alkane-air,300.0,1.05,1.0,40.48
Alkane-air,300.0,1.06,1.0,38.285
Alkane-air,300.0,1.07,1.0,38.136
Alkane-air,300.0,1.08,1.0,41.75
Alkane-air,300.0,1.09,1.0,38.62
Alkane-air,300.0,1.1,1.0,36.42
Alkane-air,300.0,1.11,1.0,36.073
Alkane-air,300.0,1.15,1.0,39.098
Alkane-air,300.0,1.16,1.0,35.632
Alkane-air,300.0,1.19,1.0,36.81
Alkane-air,300.0,1.2,1.0,33.611
Alkane-air,300.0,1.21,1.0,34.63
Alkane-air,300.0,1.23,1.0,34.12
Alkane-air,300.0,1.24,1.0,34.39
Alkane-air,300.0,1.25,1.0,31.863
Alkane-air,300.0,1.26,1.0,31.16
Alkane-air,300.0,1.29,1.0,31.33
Alkane-air,300.0,1.3,1.0,26.746
Alkane-air,300.0,1.35,1.0,20.3
Alkane-air,300.0,1.4,1.0,14.92
Alkane-air,360.0,0.7,1.0,42.2
Alkane-air,360.0,0.8,1.0,44.775
Alkane-air,360.0,1.0,1.0,47.35
Alkane-air,369.0,0.7,1.0,40.5
Alkane-air,369.0,1.0,1.0,48.7
Alkane-air,370.0,0.6,1.0,18.64
Alkane-air,370.0,0.7,1.0,29.739
Alkane-air,370.0,0.79,1.0,42.66
Alkane-air,370.0,0.8,1.0,39.307
Alkane-air,370.0,0.88,1.0,50.223
Alkane-air,370.0,0.9,1.0,46.387
Alkane-air,370.0,0.97,1.0,60.93
Alkane-air,370.0,0.98,1.0,55.89
Alkane-air,370.0,1.0,1.0,51.822
Alkane-air,370.0,1.07,1.0,58.033
Alkane-air,370.0,1.1,1.0,52.622
Alkane-air,370.0,1.16,1.0,56.694
Alkane-air,370.0,1.2,1.0,48.225
Alkane-air,370.0,1.25,1.0,48.885
Alkane-air,370.0,1.3,1.0,39.218
Alkane-air,370.0,1.4,1.0,17.93
Alkane-air,372.0,1.0,1.0,57.65
Alkane-air,375.0,0.7,1.0,42.4
Alkane-air,375.0,1.0,1.0,61.0
Alkane-air,378.0,1.0,1.0,56.8
Alkane-air,381.0,1.0,1.0,50.5
Alkane-air,387.0,1.0,1.0,57.4
Alkane-air,390.0,0.7,1.0,47.3
Alkane-air,390.0,0.8,1.0,55.767
Alkane-air,390.0,1.0,1.0,54.575
Alkane-air,393.0,1.0,1.0,56.9
Alkane-air,399.0,0.7,1.0,45.9
Alkane-air,399.0,0.8,1.0,40.8
Alkane-air,399.0,1.0,1.0,63.7
Alkane-air,402.0,0.7,1.0,44.95
Alkane-air,402.0,1.0,1.0,54.3
Alkane-air,405.0,0.7,1.0,45.15
Alkane-air,405.0,1.0,1.0,63.0
Alkane-air,408.0,1.0,1.0,63.7
Alkane-air,411.0,1.0,1.0,70.2
Alkane-air,414.0,1.0,1.0,65.9
Alkane-air,417.0,1.0,1.0,67.9
Alkane-air,420.0,0.5,1.0,25.25
Alkane-air,420.0,0.61,1.0,46.14
Alkane-air,420.0,0.7,1.0,46.975
Alkane-air,420.0,0.72,1.0,65.06
Alkane-air,420.0,0.8,1.0,63.133
Alkane-air,420.0,0.83,1.0,74.544
Alkane-air,420.0,0.94,1.0,81.887
Alkane-air,420.0,0.95,1.0,61.75
Alkane-air,420.0,1.0,1.0,61.845
Alkane-air,420.0,1.05,1.0,81.881
Alkane-air,420.0,1.16,1.0,76.142
Alkane-air,420.0,1.17,1.0,60.675
Alkane-air,420.0,1.27,1.0,73.375
Alkane-air,420.0,1.28,1.0,60.71
Alkane-air,420.0,1.39,1.0,33.67
Alkane-air,423.0,0.7,1.0,42.31
Alkane-air,423.0,0.79,1.0,53.29
Alkane-air,423.0,0.8,1.0,59.9
Alkane-air,423.0,0.88,1.0,63.81
Alkane-air,423.0,0.98,1.0,74.73
Alkane-air,423.0,1.0,1.0,59.0
Alkane-air,423.0,1.07,1.0,76.5
Alkane-air,423.0,1.1,1.0,77.6
Alkane-air,423.0,1.16,1.0,76.01
Alkane-air,423.0,1.2,1.0,72.3
Alkane-air,423.0,1.25,1.0,69.22
Alkane-air,426.0,1.0,1.0,64.9
Alkane-air,429.0,0.7,1.0,52.8
Alkane-air,429.0,1.0,1.0,69.0
Alkane-air,432.0,0.7,1.0,50.9
Alkane-air,435.0,0.7,1.0,52.9
Alkane-air,435.0,1.0,1.0,76.45
Alkane-air,438.0,0.8,1.0,50.6
Alkane-air,438.0,1.0,1.0,80.1
Alkane-air,441.0,1.0,1.0,77.1
Alkane-air,444.0,0.7,1.0,59.6
Alkane-air,444.0,0.8,1.0,55.2
Alkane-air,444.0,1.0,1.0,70.05
Alkane-air,447.0,0.8,1.0,54.2
Alkane-air,447.0,1.0,1.0,69.85
Alkane-air,450.0,0.7,1.0,53.575
Alkane-air,450.0,0.8,1.0,66.6
Alkane-air,450.0,1.0,1.0,70.954
Alkane-air,453.0,0.7,1.0,63.0
Alkane-air,453.0,0.8,1.0,55.8
Alkane-air,453.0,1.0,1.0,71.7
Alkane-air,456.0,0.7,1.0,59.1
Alkane-air,456.0,0.8,1.0,55.9
Alkane-air,456.0,1.0,1.0,81.8
Alkane-air,459.0,0.8,1.0,55.7
Alkane-air,459.0,1.0,1.0,76.3
Alkane-air,462.0,0.7,1.0,57.333
Alkane-air,465.0,1.0,1.0,86.1
Alkane-air,468.0,1.0,1.0,85.95
Alkane-air,471.0,0.8,1.0,59.9
Alkane-air,474.0,0.7,1.0,64.65
Alkane-air,474.0,1.0,1.0,77.3
Alkane-air,477.0,1.0,1.0,82.9
Alkane-air,480.0,0.7,1.0,60.75
Alkane-air,480.0,0.8,1.0,80.233
Alkane-air,480.0,1.0,1.0,77.51
Alkane-air,483.0,0.7,1.0,64.7
Alkane-air,483.0,0.8,1.0,62.0
Alkane-air,486.0,0.7,1.0,67.8
Alkane-air,486.0,0.8,1.0,63.3
Alkane-air,489.0,0.7,1.0,68.4
Alkane-air,492.0,0.7,1.0,65.867
Alkane-air,492.0,1.0,1.0,89.7
Alkane-air,495.0,1.0,1.0,95.9
Alkane-air,498.0,1.0,1.0,90.65
Alkane-air,500.0,0.6,1.0,39.035
Alkane-air,500.0,0.7,1.0,56.462
Alkane-air,500.0,0.78,1.0,70.81
Alkane-air,500.0,0.79,1.0,72.464
Alkane-air,500.0,0.8,1.0,71.19
Alkane-air,500.0,0.88,1.0,85.468
Alkane-air,500.0,0.89,1.0,84.09
Alkane-air,500.0,0.9,1.0,78.69
Alkane-air,500.0,0.98,1.0,92.618
Alkane-air,500.0,1.0,1.0,84.768
Alkane-air,500.0,1.06,1.0,91.66
Alkane-air,500.0,1.07,1.0,95.98
Alkane-air,500.0,1.1,1.0,85.85
Alkane-air,500.0,1.16,1.0,92.672
Alkane-air,500.0,1.2,1.0,79.88
Alkane-air,500.0,1.25,1.0,83.54
Alkane-air,500.0,1.3,1.0,67.22
Alkane-air,500.0,1.4,1.0,44.56
Alkane-air,501.0,1.0,1.0,90.0
Alkane-air,504.0,0.7,1.0,73.9
Alkane-air,504.0,1.0,1.0,82.7
Alkane-air,507.0,0.8,1.0,69.6
Alkane-air,510.0,0.7,1.0,70.871
Alkane-air,510.0,0.8,1.0,89.567
Alkane-air,510.0,1.0,1.0,86.8
Alkane-air,516.0,0.7,1.0,75.8
Alkane-air,516.0,0.8,1.0,70.1
Alkane-air,516.0,1.0,1.0,92.05
Alkane-air,519.0,0.7,1.0,77.1
Alkane-air,519.0,1.0,1.0,93.5
Alkane-air,522.0,0.7,1.0,70.7
Alkane-air,522.0,1.0,1.0,98.6
Alkane-air,525.0,0.7,1.0,77.3
Alkane-air,525.0,0.8,1.0,72.4
Alkane-air,525.0,1.0,1.0,84.4
Alkane-air,528.0,0.8,1.0,75.6
Alkane-air,531.0,0.7,1.0,81.6
Alkane-air,531.0,1.0,1.0,100.167
Alkane-air,534.0,0.7,1.0,80.4
Alkane-air,537.0,1.0,1.0,101.0
Alkane-air,540.0,0.7,1.0,78.14
Alkane-air,540.0,0.8,1.0,99.967
Alkane-air,540.0,1.0,1.0,96.45
Alkane-air,543.0,0.7,1.0,86.5
Alkane-air,543.0,1.0,1.0,102.0
Alkane-air,549.0,0.7,1.0,79.8
Alkane-air,552.0,0.7,1.0,86.25
Alkane-air,552.0,1.0,1.0,106.0
Alkane-air,555.0,0.8,1.0,77.0
Alkane-air,555.0,1.0,1.0,115.5
Alkane-air,558.0,0.7,1.0,87.4
Alkane-air,558.0,1.0,1.0,124.0
Alkane-air,561.0,0.7,1.0,87.4
Alkane-air,561.0,0.8,1.0,82.8
Alkane-air,567.0,0.7,1.0,92.8
Alkane-air,570.0,0.7,1.0,87.633
Alkane-air,570.0,0.8,1.0,110.667
Alkane-air,570.0,1.0,1.0,107.322
Alkane-air,573.0,0.8,1.0,82.7
Alkane-air,573.0,1.0,1.0,114.0
Alkane-air,579.0,0.7,1.0,89.6
Alkane-air,582.0,0.7,1.0,98.1
Alkane-air,582.0,1.0,1.0,130.0
Alkane-air,585.0,1.0,1.0,136.0
Alkane-air,588.0,0.7,1.0,96.5
Alkane-air,588.0,1.0,1.0,102.5
Alkane-air,591.0,0.7,1.0,99.25
Alkane-air,594.0,0.7,1.0,97.9
Alkane-air,594.0,1.0,1.0,102.0
Alkane-air,597.0,1.0,1.0,137.0
Alkane-air,600.0,0.5,1.0,61.635
Alkane-air,600.0,0.61,1.0,81.16
Alkane-air,600.0,0.7,1.0,93.728
Alkane-air,600.0,0.72,1.0,98.72
Alkane-air,600.0,0.8,1.0,122.0
Alkane-air,600.0,0.83,1.0,103.893
Alkane-air,600.0,0.94,1.0,109.575
Alkane-air,600.0,1.0,1.0,109.06
Alkane-air,600.0,1.05,1.0,110.51
Alkane-air,600.0,1.16,1.0,109.715
Alkane-air,600.0,1.27,1.0,89.68
Alkane-air,600.0,1.28,1.0,93.71
Alkane-air,609.0,0.7,1.0,105.0
Alkane-air,618.0,0.7,1.0,111.0
Alkane-air,627.0,0.7,1.0,112.5
Alkane-air,630.0,0.7,1.0,106.0
Alkane-air,660.0,0.7,1.0,118.333
Ammonia-air (XNH3=0.1),300.0,0.699,1.0,19.731
Ammonia-air (XNH3=0.1),300.0,0.699,5.0,8.192
Ammonia-air (XNH3=0.1),300.0,0.798,5.0,13.038
Ammonia-air (XNH3=0.1),300.0,0.8,1.0,28.5
Ammonia-air (XNH3=0.1),300.0,0.898,5.0,17.423
Ammonia-air (XNH3=0.1),300.0,0.899,1.0,34.731
Ammonia-air (XNH3=0.1),300.0,0.998,5.0,19.5
Ammonia-air (XNH3=0.1),300.0,1.001,1.0,38.423
Ammonia-air (XNH3=0.1),300.0,1.097,1.0,39.462
Ammonia-air (XNH3=0.1),300.0,1.1,5.0,20.423
Ammonia-air (XNH3=0.1),300.0,1.198,5.0,16.154
Ammonia-air (XNH3=0.1),300.0,1.199,1.0,34.962
Ammonia-air (XNH3=0.1),300.0,1.299,1.0,24.0
Ammonia-air (XNH3=0.1),300.0,1.3,5.0,10.846
Ammonia-air (XNH3=0.1),300.0,1.399,5.0,8.769
Ammonia-air (XNH3=0.1),300.0,1.401,1.0,15.462
Ammonia-air (XNH3=0.1),445.2,0.7,1.0,47.1
Ammonia-air (XNH3=0.1),466.2,0.7,1.0,51.9
Ammonia-air (XNH3=0.1),469.5,1.0,1.0,44.4
Ammonia-air (XNH3=0.1),470.4,0.7,5.0,25.5
Ammonia-air (XNH3=0.1),472.2,0.7,1.0,54.5
Ammonia-air (XNH3=0.1),482.7,1.0,1.0,49.1
Ammonia-air (XNH3=0.1),484.8,1.3,1.0,69.1
Ammonia-air (XNH3=0.1),492.9,1.0,1.0,52.4
Ammonia-air (XNH3=0.1),493.5,0.7,1.0,59.7
Ammonia-air (XNH3=0.1),499.8,0.7,1.0,62.0
Ammonia-air (XNH3=0.1),503.7,1.0,1.0,56.0
Ammonia-air (XNH3=0.1),504.6,0.7,5.0,30.4
Ammonia-air (XNH3=0.1),507.0,1.3,1.0,76.6
Ammonia-air (XNH3=0.1),515.1,1.0,1.0,59.3
Ammonia-air (XNH3=0.1),516.9,0.7,1.0,67.1
Ammonia-air (XNH3=0.1),518.1,0.7,5.0,32.7
Ammonia-air (XNH3=0.1),523.2,1.0,1.0,62.3
Ammonia-air (XNH3=0.1),525.9,1.3,1.0,82.6
Ammonia-air (XNH3=0.1),528.3,1.0,1.0,64.6
Ammonia-air (XNH3=0.1),530.4,0.7,1.0,70.3
Ammonia-air (XNH3=0.1),534.3,1.0,1.0,68.7
Ammonia-air (XNH3=0.1),536.4,0.7,1.0,72.3
Ammonia-air (XNH3=0.1),543.6,0.7,1.0,74.6
Ammonia-air (XNH3=0.1),547.2,1.0,1.0,73.9
Ammonia-air (XNH3=0.1),548.1,1.3,1.0,90.5
Ammonia-air (XNH3=0.1),552.9,0.7,1.0,76.9
Ammonia-air (XNH3=0.1),552.9,0.7,5.0,39.0
Ammonia-air (XNH3=0.1),560.1,1.0,1.0,79.2
Ammonia-air (XNH3=0.1),560.1,1.3,5.0,48.9
Ammonia-air (XNH3=0.1),566.4,1.0,1.0,82.5
Ammonia-air (XNH3=0.1),567.9,1.3,1.0,97.5
Ammonia-air (XNH3=0.1),569.7,0.7,1.0,82.9
Ammonia-air (XNH3=0.1),577.8,1.3,5.0,52.4
Ammonia-air (XNH3=0.1),579.3,1.0,1.0,86.3
Ammonia-air (XNH3=0.1),584.7,0.7,1.0,88.7
Ammonia-air (XNH3=0.1),589.8,1.0,1.0,90.8
Ammonia-air (XNH3=0.1),590.7,1.3,1.0,106.3
Ammonia-air (XNH3=0.1),591.0,0.7,5.0,45.3
Ammonia-air (XNH3=0.1),591.3,1.0,5.0,45.5
Ammonia-air (XNH3=0.1),601.2,0.7,1.0,95.3
Ammonia-air (XNH3=0.1),602.1,1.0,1.0,96.3
Ammonia-air (XNH3=0.1),606.9,1.0,5.0,49.7
Ammonia-air (XNH3=0.1),608.1,1.3,1.0,113.5
Ammonia-air (XNH3=0.1),613.2,1.3,5.0,60.9
Ammonia-air (XNH3=0.1),616.2,0.7,1.0,100.1
Ammonia-air (XNH3=0.1),621.3,0.7,5.0,51.6
Ammonia-air (XNH3=0.1),627.0,1.3,5.0,64.0
Ammonia-air (XNH3=0.1),631.2,0.7,1.0,105.3
Ammonia-air (XNH3=0.1),632.7,1.3,1.0,123.3
Ammonia-air (XNH3=0.1),636.0,1.3,1.0,124.9
Ammonia-air (XNH3=0.1),636.6,1.0,5.0,57.7
Ammonia-air (XNH3=0.1),639.0,1.3,1.0,126.1
Ammonia-air (XNH3=0.1),641.4,1.3,5.0,68.1
Ammonia-air (XNH3=0.1),648.6,1.0,5.0,61.8
Ammonia-air (XNH3=0.1),649.8,0.7,5.0,58.2
Ammonia-air (XNH3=0.1),650.4,1.3,1.0,130.9
Ammonia-air (XNH3=0.1),653.7,1.3,1.0,132.1
Ammonia-air (XNH3=0.1),660.3,1.3,5.0,73.2
Ammonia-air (XNH3=0.1),660.6,1.0,5.0,65.4
Ammonia-air (XNH3=0.1),663.6,0.7,5.0,62.0
Ammonia-air (XNH3=0.1),668.7,1.3,1.0,139.4
Ammonia-air (XNH3=0.1),676.5,1.0,5.0,70.9
Ammonia-air (XNH3=0.1),683.1,1.3,5.0,78.8
Ammonia-air (XNH3=0.1),683.7,0.7,5.0,66.3
Ammonia-air (XNH3=0.1),689.7,1.3,1.0,149.5
Ammonia-air (XNH3=0.1),696.6,1.0,5.0,78.1
Ammonia-air (XNH3=0.1),698.4,1.3,5.0,83.6
Ammonia-air (XNH3=0.1),702.6,1.3,5.0,84.5
Ammonia-air (XNH3=0.1),705.6,1.3,5.0,85.8
Ammonia-air (XNH3=0.1),708.6,1.3,5.0,86.1
Ammonia-air (XNH3=0.1),709.2,1.0,5.0,81.7
Ammonia-air (XNH3=0.1),710.4,0.7,5.0,73.7
Ammonia-air (XNH3=0.1),713.1,1.3,1.0,161.2
Ammonia-air (XNH3=0.1),714.3,1.0,5.0,83.9
Ammonia-air (XNH3=0.1),717.9,1.0,5.0,83.6
Ammonia-air (XNH3=0.1),718.2,1.3,5.0,88.6
Ammonia-air (XNH3=0.1),726.6,1.0,5.0,86.9
Ammonia-air (XNH3=0.1),732.6,0.7,5.0,78.9
Ammonia-air (XNH3=0.1),738.9,1.3,5.0,94.6
Ammonia-air (XNH3=0.1),743.4,1.0,5.0,93.2
Ammonia-air (XNH3=0.1),750.0,0.699,1.0,152.129
Ammonia-air (XNH3=0.1),750.0,0.701,5.0,83.127
Ammonia-air (XNH3=0.1),750.0,0.802,1.0,184.474
Ammonia-air (XNH3=0.1),750.0,0.804,5.0,102.534
Ammonia-air (XNH3=0.1),750.0,0.9,5.0,116.011
Ammonia-air (XNH3=0.1),750.0,0.902,1.0,200.647
Ammonia-air (XNH3=0.1),750.0,1.0,1.0,206.577
Ammonia-air (XNH3=0.1),750.0,1.004,5.0,126.792
Ammonia-air (XNH3=0.1),750.0,1.1,5.0,127.871
Ammonia-air (XNH3=0.1),750.0,1.104,1.0,194.178
Ammonia-air (XNH3=0.1),750.0,1.202,1.0,186.092
Ammonia-air (XNH3=0.1),750.0,1.202,5.0,118.167
Ammonia-air (XNH3=0.1),750.0,1.302,1.0,176.927
Ammonia-air (XNH3=0.1),750.0,1.302,5.0,97.682
Ammonia-air (XNH3=0.1),750.0,1.403,5.0,71.267
Ammonia-air (XNH3=0.1),750.0,1.405,1.0,156.981
Ammonia-air (XNH3=0.1),750.3,1.3,5.0,98.1
Ammonia-air (XNH3=0.1),750.6,0.7,5.0,83.5
Ammonia-air (XNH3=0.1),750.6,1.3,1.0,179.4
Ammonia-air (XNH3=0.1),753.6,1.0,5.0,97.7
Ammonia-air (XNH3=0.2),300.0,0.697,5.0,6.923
Ammonia-air (XNH3=0.2),300.0,0.699,1.0,16.269
Ammonia-air (XNH3=0.2),300.0,0.798,5.0,11.308
Ammonia-air (XNH3=0.2),300.0,0.8,1.0,23.077
Ammonia-air (XNH3=0.2),300.0,0.898,5.0,15.231
Ammonia-air (XNH3=0.2),300.0,0.899,1.0,28.846
Ammonia-air (XNH3=0.2),300.0,0.998,5.0,16.154
Ammonia-air (XNH3=0.2),300.0,0.999,1.0,32.538
Ammonia-air (XNH3=0.2),300.0,1.098,5.0,17.192
Ammonia-air (XNH3=0.2),300.0,1.099,1.0,33.692
Ammonia-air (XNH3=0.2),300.0,1.198,5.0,13.154
Ammonia-air (XNH3=0.2),300.0,1.199,1.0,30.808
Ammonia-air (XNH3=0.2),300.0,1.299,1.0,23.423
Ammonia-air (XNH3=0.2),300.0,1.3,5.0,9.692
Ammonia-air (XNH3=0.2),300.0,1.401,1.0,16.154
Ammonia-air (XNH3=0.2),300.0,1.401,5.0,7.615
Ammonia-air (XNH3=0.2),750.0,0.701,1.0,135.957
Ammonia-air (XNH3=0.2),750.0,0.701,5.0,72.345
Ammonia-air (XNH3=0.2),750.0,0.8,1.0,151.051
Ammonia-air (XNH3=0.2),750.0,0.802,5.0,90.135
Ammonia-air (XNH3=0.2),750.0,0.902,5.0,103.073
Ammonia-air (XNH3=0.2),750.0,0.904,1.0,168.302
Ammonia-air (XNH3=0.2),750.0,1.002,1.0,182.857
Ammonia-air (XNH3=0.2),750.0,1.004,5.0,108.464
Ammonia-air (XNH3=0.2),750.0,1.1,1.0,175.31
Ammonia-air (XNH3=0.2),750.0,1.102,5.0,112.237
Ammonia-air (XNH3=0.2),750.0,1.202,1.0,167.224
Ammonia-air (XNH3=0.2),750.0,1.202,5.0,101.995
Ammonia-air (XNH3=0.2),750.0,1.3,1.0,150.512
Ammonia-air (XNH3=0.2),750.0,1.304,5.0,80.97
Ammonia-air (XNH3=0.2),750.0,1.403,5.0,65.337
Ammonia-air (XNH3=0.2),750.0,1.405,1.0,125.714
Ammonia-air (XNH3=0.3),300.0,0.696,5.0,6.231
Ammonia-air (XNH3=0.3),300.0,0.701,1.0,14.423
Ammonia-air (XNH3=0.3),300.0,0.8,5.0,9.692
Ammonia-air (XNH3=0.3),300.0,0.801,1.0,20.192
Ammonia-air (XNH3=0.3),300.0,0.898,5.0,12.808
Ammonia-air (XNH3=0.3),300.0,0.899,1.0,26.192
Ammonia-air (XNH3=0.3),300.0,1.0,5.0,14.769
Ammonia-air (XNH3=0.3),300.0,1.001,1.0,29.885
Ammonia-air (XNH3=0.3),300.0,1.099,1.0,30.115
Ammonia-air (XNH3=0.3),300.0,1.1,5.0,14.538
Ammonia-air (XNH3=0.3),300.0,1.198,5.0,11.654
Ammonia-air (XNH3=0.3),300.0,1.199,1.0,26.192
Ammonia-air (XNH3=0.3),300.0,1.3,1.0,18.115
Ammonia-air (XNH3=0.3),300.0,1.3,5.0,9.231
Ammonia-air (XNH3=0.3),300.0,1.399,5.0,7.5
Ammonia-air (XNH3=0.3),300.0,1.403,1.0,13.5
Ammonia-air (XNH3=0.3),470.7,1.3,5.0,25.2
Ammonia-air (XNH3=0.3),478.8,1.0,1.0,33.9
Ammonia-air (XNH3=0.3),484.8,1.3,1.0,51.1
Ammonia-air (XNH3=0.3),490.8,0.7,5.0,26.7
Ammonia-air (XNH3=0.3),505.2,1.3,5.0,29.3
Ammonia-air (XNH3=0.3),506.7,1.3,1.0,55.8
Ammonia-air (XNH3=0.3),508.8,1.0,1.0,41.7
Ammonia-air (XNH3=0.3),514.2,1.0,5.0,16.6
Ammonia-air (XNH3=0.3),514.5,0.7,5.0,29.8
Ammonia-air (XNH3=0.3),519.3,0.7,1.0,52.2
Ammonia-air (XNH3=0.3),519.3,1.3,5.0,30.6
Ammonia-air (XNH3=0.3),523.2,1.0,1.0,45.8
Ammonia-air (XNH3=0.3),526.5,1.3,1.0,60.9
Ammonia-air (XNH3=0.3),536.1,0.7,5.0,33.0
Ammonia-air (XNH3=0.3),544.8,1.0,5.0,21.8
Ammonia-air (XNH3=0.3),548.1,1.0,1.0,52.7
Ammonia-air (XNH3=0.3),548.4,1.3,1.0,66.2
Ammonia-air (XNH3=0.3),549.9,0.7,1.0,59.7
Ammonia-air (XNH3=0.3),553.5,1.3,5.0,35.6
Ammonia-air (XNH3=0.3),555.3,1.0,5.0,23.4
Ammonia-air (XNH3=0.3),555.9,0.7,1.0,61.1
Ammonia-air (XNH3=0.3),559.2,0.7,5.0,36.4
Ammonia-air (XNH3=0.3),565.8,1.0,1.0,59.3
Ammonia-air (XNH3=0.3),567.9,1.3,1.0,71.6
Ammonia-air (XNH3=0.3),573.3,0.7,1.0,65.7
Ammonia-air (XNH3=0.3),581.4,0.7,5.0,39.9
Ammonia-air (XNH3=0.3),585.6,1.0,5.0,30.3
Ammonia-air (XNH3=0.3),590.1,1.3,1.0,77.3
Ammonia-air (XNH3=0.3),591.6,1.3,5.0,41.0
Ammonia-air (XNH3=0.3),594.6,1.0,1.0,68.4
Ammonia-air (XNH3=0.3),595.2,0.7,1.0,71.4
Ammonia-air (XNH3=0.3),605.1,0.7,5.0,43.9
Ammonia-air (XNH3=0.3),607.8,1.3,1.0,82.3
Ammonia-air (XNH3=0.3),614.1,0.7,1.0,77.2
Ammonia-air (XNH3=0.3),618.3,1.0,5.0,37.2
Ammonia-air (XNH3=0.3),619.5,1.0,1.0,76.4
Ammonia-air (XNH3=0.3),621.9,1.3,5.0,46.0
Ammonia-air (XNH3=0.3),624.0,0.7,5.0,47.1
Ammonia-air (XNH3=0.3),632.4,1.0,1.0,81.1
Ammonia-air (XNH3=0.3),632.4,1.3,1.0,89.3
Ammonia-air (XNH3=0.3),634.5,1.3,1.0,90.2
Ammonia-air (XNH3=0.3),639.0,1.3,1.0,91.8
Ammonia-air (XNH3=0.3),643.5,1.0,5.0,43.9
Ammonia-air (XNH3=0.3),645.3,1.0,1.0,85.8
Ammonia-air (XNH3=0.3),647.7,0.7,5.0,51.4
Ammonia-air (XNH3=0.3),650.1,1.3,5.0,50.8
Ammonia-air (XNH3=0.3),650.4,1.0,1.0,88.0
Ammonia-air (XNH3=0.3),650.4,1.3,1.0,94.9
Ammonia-air (XNH3=0.3),653.4,1.3,1.0,96.2
Ammonia-air (XNH3=0.3),654.6,0.7,1.0,90.1
Ammonia-air (XNH3=0.3),664.2,1.3,5.0,53.3
Ammonia-air (XNH3=0.3),667.8,0.7,5.0,55.4
Ammonia-air (XNH3=0.3),667.8,1.0,5.0,49.1
Ammonia-air (XNH3=0.3),668.1,1.3,1.0,100.9
Ammonia-air (XNH3=0.3),670.5,1.0,1.0,96.3
Ammonia-air (XNH3=0.3),678.6,0.7,1.0,97.6
Ammonia-air (XNH3=0.3),680.4,1.0,5.0,52.1
Ammonia-air (XNH3=0.3),683.7,1.3,5.0,56.8
Ammonia-air (XNH3=0.3),684.6,0.7,5.0,59.1
Ammonia-air (XNH3=0.3),689.7,1.3,1.0,107.9
Ammonia-air (XNH3=0.3),690.6,1.0,1.0,104.3
Ammonia-air (XNH3=0.3),695.4,0.7,5.0,61.1
Ammonia-air (XNH3=0.3),697.5,1.0,5.0,57.1
Ammonia-air (XNH3=0.3),702.9,0.7,5.0,62.6
Ammonia-air (XNH3=0.3),708.9,1.0,1.0,110.9
Ammonia-air (XNH3=0.3),711.3,1.3,5.0,61.8
Ammonia-air (XNH3=0.3),713.4,1.3,1.0,115.4
Ammonia-air (XNH3=0.3),717.6,1.0,1.0,115.0
Ammonia-air (XNH3=0.3),718.2,0.7,5.0,66.3
Ammonia-air (XNH3=0.3),718.5,0.7,1.0,111.6
Ammonia-air (XNH3=0.3),720.3,1.0,5.0,62.3
Ammonia-air (XNH3=0.3),731.4,1.0,1.0,120.8
Ammonia-air (XNH3=0.3),733.5,1.3,5.0,66.9
Ammonia-air (XNH3=0.3),736.5,0.7,1.0,118.2
Ammonia-air (XNH3=0.3),738.9,0.7,5.0,71.4
Ammonia-air (XNH3=0.3),739.8,1.0,5.0,68.4
Ammonia-air (XNH3=0.3),749.7,0.7,5.0,73.5
Ammonia-air (XNH3=0.3),750.0,0.701,1.0,124.097
Ammonia-air (XNH3=0.3),750.0,0.701,5.0,64.259
Ammonia-air (XNH3=0.3),750.0,0.8,1.0,136.496
Ammonia-air (XNH3=0.3),750.0,0.802,5.0,78.814
Ammonia-air (XNH3=0.3),750.0,0.902,1.0,149.434
Ammonia-air (XNH3=0.3),750.0,0.904,5.0,92.291
Ammonia-air (XNH3=0.3),750.0,1.002,1.0,165.606
Ammonia-air (XNH3=0.3),750.0,1.002,5.0,98.76
Ammonia-air (XNH3=0.3),750.0,1.102,1.0,153.747
Ammonia-air (XNH3=0.3),750.0,1.102,5.0,99.299
Ammonia-air (XNH3=0.3),750.0,1.202,1.0,143.504
